PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
22539|17036111|30189|211026|1200 N NASH ST 0538|||2037|0549|AYASH EMILE R|120947|1981-03-13 00:00:00||False
22539|17036111|30189|211026|1200 N NASH ST 0538|C|C-Condo Parking Space|2135|1767|AYASH EMILE R |0|1982-11-29 00:00:00||False
22539|17036111|30189|211026|1200 N NASH ST 0538|5|5-Not Market Sale|4371|0623|AYASH EMILE R  TR|0|2010-06-09 00:00:00||False
22539|17036111|30189|211026|1200 N NASH ST 0538|A|A-Correction Deed|    |    |STONE JEFFREY W  &|0|2020-05-06 00:00:00|20210100002754                  |False
22539|17036111|30189|211026|1200 N NASH ST 0538|||    |    |STONE JEFFREY W  &|575000|2020-05-06 00:00:00|20200100009979                  |False
22540|17036112|30190|211026|1200 N NASH ST 0539|||2217|0517|TANEN TED M G &                     |130000|1986-05-14 00:00:00||False
22540|17036112|30190|211026|1200 N NASH ST 0539|||2991|0835|LOMELLIN CARMEN                     |198000|1999-06-11 00:00:00||False
22541|17036113|30191|211026|1200 N NASH ST 0540|||2437|0903|MORRISON ROSABELLE K|295000|1990-06-22 00:00:00||False
22541|17036113|30191|211026|1200 N NASH ST 0540|||2631|1626|RUCKHAUS KARIN|320000|1993-10-27 00:00:00||False
22541|17036113|30191|211026|1200 N NASH ST 0540|||3604|0205|REILEY MARY|520000|2003-10-02 00:00:00||False
22541|17036113|30191|211026|1200 N NASH ST 0540|||3780|0807|FRALEY STANLEY & HURI|645000|2004-11-22 00:00:00||False
22541|17036113|30191|211026|1200 N NASH ST 0540|5|5-Not Market Sale|    |    |FRALEY STANLEY KENNETH  TR |0|2019-08-16 00:00:00|20190100014954                  |False
22542|17036114|30192|211026|1200 N NASH ST 0541|||2457|1148|GOODWIN MARIE L|285000|1990-12-11 00:00:00||False
22542|17036114|30192|211026|1200 N NASH ST 0541|C|C-Condo Parking Space|2848|1688|GOODWIN MARIE L|0|1997-09-21 00:00:00||False
22542|17036114|30192|211026|1200 N NASH ST 0541|W|W-Will / R.O.S/L O H|X003|0020|GOODWIN MARIE L EST|0|2000-02-22 00:00:00||False
22542|17036114|30192|211026|1200 N NASH ST 0541|||3097|2094|NAPPI RALPH A JR|300000|2000-11-15 00:00:00||False
22542|17036114|30192|211026|1200 N NASH ST 0541|2|2-Sale or Gift to Relative|    |    |NAPPI RALPH A JR & TAKEO ICHIMURA|0|2024-08-06 00:00:00|20240100009159                  |False
22542|17036114|30192|211026|1200 N NASH ST 0541|W|W-Will / R.O.S/L O H|    |    |NAPPI RALPH A JR|0|2025-01-17 00:00:00|20000100027224                  |False
22543|17036115|30193|211026|1200 N NASH ST 0542|5|5-Not Market Sale|2702|1015|GORMAN MICHAEL THOMAS               |142500|1994-10-17 00:00:00||False
22543|17036115|30193|211026|1200 N NASH ST 0542|||2800|1559|RAUCH RICHARD T                     |173000|1996-10-10 00:00:00||False
22543|17036115|30193|211026|1200 N NASH ST 0542|||3045|2152|PRINCE JOHN D                       |182500|2000-03-15 00:00:00||False
22544|17036116|30194|211026|1200 N NASH ST 0543|4|4-Multiple RPCs, Not A Coded S|2174|0138|PROSPECT HOUSE LIMITED              |360000|1984-06-29 00:00:00||False
22544|17036116|30194|211026|1200 N NASH ST 0543|||2415|1856|ELSBERRY ROSE P                     |190000|1990-01-12 00:00:00||False
22544|17036116|30194|211026|1200 N NASH ST 0543|W|W-Will / R.O.S/L O H|GO92|0226|ELSBERRY ROSE P EST                 |0|1999-09-13 00:00:00||False
22544|17036116|30194|211026|1200 N NASH ST 0543|E|E-Estate Sale|3032|2060|AKKAYA SEBNEM                       |202500|1999-12-20 00:00:00||False
22544|17036116|30194|211026|1200 N NASH ST 0543|||    |    |ROTH T CHRISTOPHER  TR              |659000|2017-09-25 00:00:00|20170100019485                  |False
22545|17036117|30195|211026|1200 N NASH ST 0544|||2461|0701|MEYER THOMAS K &                    |200000|1991-01-22 00:00:00||False
22545|17036117|30195|211026|1200 N NASH ST 0544|||2870|0996|LASZLO JENNIFER                     |275480|1998-01-21 00:00:00||False
22545|17036117|30195|211026|1200 N NASH ST 0544|||4448|0425|ROTH T CHRISTOPHER   TR             |600000|2011-03-08 00:00:00||False
22546|17036118|30196|211026|1200 N NASH ST 0545|1|1-Foreclosure, Auction, Bankru|2707|0960|FERGUSON JAMES W &|195000|1994-12-12 00:00:00||False
22546|17036118|30196|211026|1200 N NASH ST 0545|||2922|0664|GOMEZ MICHAEL D|255000|1998-08-31 00:00:00||False
22546|17036118|30196|211026|1200 N NASH ST 0545|A|A-Correction Deed|    |    |YEUNG PATRICK S  &|0|2000-09-30 00:00:00|20150100025733                  |False
22546|17036118|30196|211026|1200 N NASH ST 0545|||3088|1799|YEUNG PATRICK F & JENNY F SO|297500|2000-09-30 00:00:00||False
22546|17036118|30196|211026|1200 N NASH ST 0545|5|5-Not Market Sale|    |    |YEUNG PATRICK S  TR|0|2019-08-14 00:00:00|20190100015043                  |False
22546|17036118|30196|211026|1200 N NASH ST 0545|||    |    |ZAIDI RIAZ ANDERSON|685000|2022-08-02 00:00:00|20220100014420                  |False
22547|17036119|30197|211026|1200 N NASH ST 0546|||2054|1238|NEBELING JACOB & FLORENCE|175000|1981-12-04 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|5|5-Not Market Sale|2208|1681|NEBELING JACOB TR ET AL|0|1986-02-24 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|||4215|2167|BLUMOFF JERROLD|750000|2008-09-08 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|5|5-Not Market Sale|4217|1428|CALYTON PROSPECT LLC|0|2008-09-12 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|5|5-Not Market Sale|4296|1953|BLUMOFF JERROLD|0|2009-07-24 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|||4575|0794|LASSITER DAVID W|725000|2012-06-26 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|||4751|0652|HAGEN HIROKO T TR ETAL|845000|2014-06-26 00:00:00||False
22547|17036119|30197|211026|1200 N NASH ST 0546|2|2-Sale or Gift to Relative|    |    |HAGEN JEROME T & HIROKO T HAGEN TRS|0|2021-07-02 00:00:00|20210100024046                  |False
22547|17036119|30197|211026|1200 N NASH ST 0546|5|5-Not Market Sale|    |    |HAGEN HIROKO T & JEROME T HAGEN TRS|0|2021-07-02 00:00:00|20210100023946                  |False
22547|17036119|30197|211026|1200 N NASH ST 0546|2|2-Sale or Gift to Relative|    |    |HIKO HI HOME LLC|0|2024-03-25 00:00:00|20240100003136                  |False
22547|17036119|30197|211026|1200 N NASH ST 0546|2|2-Sale or Gift to Relative|    |    |HAGEN JEROME & HIROKO HAGEN CO TRS|0|2024-03-28 00:00:00|20240100003234                  |False
22548|17036120|30198|211026|1200 N NASH ST 0547|5|5-Not Market Sale|2701|0609|HARLAN S DONALD III   ET AL         |194500|1994-10-17 00:00:00||False
22548|17036120|30198|211026|1200 N NASH ST 0547|||2715|0703|PUJOL JOAQUIN P                     |250000|1995-03-01 00:00:00||False
22548|17036120|30198|211026|1200 N NASH ST 0547|5|5-Not Market Sale|4513|1456|PUJOL JOAQUIN P  TR                 |0|2011-10-10 00:00:00||False
65962|17036121|30199|211026|1200 N NASH ST 0548|1|1-Foreclosure, Auction, Bankru|2191|1335|CITICORP HOMEOWNER INC              |121025|1985-09-24 00:00:00||False
65962|17036121|30199|211026|1200 N NASH ST 0548|||2278|1535|MOORE JANE GARDNER                  |137000|1987-05-26 00:00:00||False
65962|17036121|30199|211026|1200 N NASH ST 0548|||3079|0807|MORRELL AMBER L                     |187000|2000-08-23 00:00:00||False
65962|17036121|30199|211026|1200 N NASH ST 0548|||3851|0411|BURGER TIMOTHY                      |550000|2005-05-28 00:00:00||False
65962|17036121|30199|211026|1200 N NASH ST 0548|||||DOCABO JORGE|636500|2023-01-13 00:00:00|20230100000465                  |False
22549|17036122|30200|211026|1200 N NASH ST 0549|A|A-Correction Deed|2438|1313|VALENTA MARIE H                     |0|1985-12-23 00:00:00||False
22549|17036122|30200|211026|1200 N NASH ST 0549|1|1-Foreclosure, Auction, Bankru|2201|1310|VALENTA MARIE H                     |135000|1985-12-23 00:00:00||False
22549|17036122|30200|211026|1200 N NASH ST 0549|||3089|0868|MITCHELL ROBERT                     |238750|2000-09-21 00:00:00||False
